person_id,given_name,surname,sex,address,zip_code,birth_day,birth_month,birth_year,data_capture_day,data_capture_month,data_capture_year,geographic_region,birth_date,data_capture_date,income_quantile,residence_locality
1,Jennifer Rebecca,Haynes,Female,2000 Christina Motorway Suite 665,06103,1,11,1942,24,9,2025,Northeast,1942-11-01,2025-09-24,5 (Highest),Urban
2,Joseph,Jacobs Baxter,Male,741 Mack Springs,,15,12,1943,9,4,2024,Northeast,1943-12-15,2024-04-09,5 (Highest),Rural
3,Elizabeth Taylor,Hayes,Female,13717 Colin Overpass,,22,2,1944,10,10,2025,Northeast,1944-02-22,2025-10-10,5 (Highest),Rural
4,Michael,Taylor Lautner,Male,,,21,8,1940,1,5,2025,Northeast,1940-08-21,2025-05-01,4,Urban
5,Robert,Winters,Male,46737 Bridges Avenue,07030,17,9,1941,14,12,2025,Northeast,1941-09-17,2025-12-14,5 (Highest),Rural
6,Jessica Rothe,Pittman Roy,Female,7921 Webb Circles,10001,2,7,1940,12,2,2025,Northeast,1940-07-02,2025-02-12,3,Rural
7,John,Rojas,Male,,11201,4,9,1942,8,5,2025,Northeast,1942-09-04,2025-05-08,5 (Highest),Rural
8,Jennifer,Kelly,Female,0719 Jessica Squares,,24,1,1941,10,8,2024,Northeast,1941-01-24,2024-08-10,5 (Highest),Urban
9,James Janisse,Mitchell Cameron,Male,82737 Gillespie Tunnel,19104,26,8,1944,28,10,2025,Northeast,1944-08-26,2025-10-28,5 (Highest),Urban
10,Susan Sarandon,Wyatt,Female,,,16,11,1943,21,2,2025,Northeast,1943-11-16,2025-02-21,2,Rural
11,Sarah,Huerta,Female,987 Shawn Points Suite 843,02840,24,7,1942,11,8,2025,Northeast,1942-07-24,2025-08-11,5 (Highest),Rural
12,Sarah,Baker,Female,3174 Amy Road,02903,6,2,1940,27,7,2024,Northeast,1940-02-06,2024-07-27,5 (Highest),Rural
13,Sarah,Joel Miller ,Female,,,22,7,1941,16,6,2025,Northeast,1941-07-22,2025-06-16,2,Urban
14,Karen Elizabeth Susan,Morris Gonzalez Wood,Female,0674 Sarah Lake,03431,26,4,1943,20,11,2025,Northeast,1943-04-26,2025-11-20,2,Urban
15,Mary,Toby Turner,Female,,,4,6,1942,11,12,2024,Northeast,1942-06-04,2024-12-11,2,Urban
16,Patricia Thompson,Cabrera,Female,32946 Matthew Vista Apt. 433,02360,17,4,1944,18,7,2025,Northeast,1944-04-17,2025-07-18,5 (Highest),Urban
17,Barbara,Smith,Female,,06444,6,1,1940,4,4,2024,Northeast,1940-01-06,2024-04-04,1 (Lowest),Rural
18,Robert,Smith Jeffery,Male,993 King Mills,,3,1,1940,17,10,2024,Northeast,1940-01-03,2024-10-17,3,Urban
19,Linda Blair,Owens,Female,2936 Odom Expressway Apt. 656,07310,21,7,1943,13,3,2024,Northeast,1943-07-21,2024-03-13,5 (Highest),Urban
20,Mary,Garrison Ford,Female,24307 Jasmine Stravenue,10590,25,7,1941,24,12,2025,Northeast,1941-07-25,2025-12-24,4,Rural
21,Joseph Aaron,Diaz,Male,,,7,2,1942,17,8,2025,Northeast,1942-02-07,2025-08-17,2,Rural
22,Patricia Williams,Hunter Evers,Female,114 Patricia Squares,18052,5,1,1944,15,11,2025,Northeast,1944-01-05,2025-11-15,5 (Highest),Urban
23,Linda,Lee Everett,Female,,,3,5,1940,12,3,2024,Northeast,1940-05-03,2024-03-12,2,Urban
24,Richard,Wells,Female,990 Jeremy Meadows Suite 158,04102,6,4,1941,8,4,2025,Northeast,1941-04-06,2025-04-08,5 (Highest),Urban
25,Barbara Crampton,Johns,Female,,,27,3,1943,30,7,2024,Northeast,1943-03-27,2024-07-30,3,Rural
26,Joseph,Phillip Graves,Male,473 Jessica Curve Suite 113,03901,15,2,1955,27,10,2024,Northeast,1955-02-15,2024-10-27,1 (Lowest),Rural
27,Thomas John,Norris Pacheco Porter,Male,572 Nguyen Lakes Apt. 189,06790,8,3,1956,21,8,2024,Northeast,1956-03-08,2024-08-21,4,Rural
28,Jessika Sarah Mary,Clark Long Blackwell,Female,1564 Michael Cliffs Suite 478,02543,18,9,1947,9,11,2025,Northeast,1947-09-18,2025-11-09,3,Rural
29,Susan,Gentry Andrews,Female,,07047,25,1,1951,17,2,2025,Northeast,1951-01-25,2025-02-17,2,Urban
30,Susan,Hartman,Female,855 Bentley Parks Suite 447,08854,13,6,1949,17,6,2025,Northeast,1949-06-13,2025-06-17,2,Rural
31,James,Marty Mcmahon,Male,09244 Christensen Lake,10901,4,10,1954,20,12,2025,Northeast,1954-10-04,2025-12-20,2,Rural
32,Susan,Summers,Female,4746 Peterson Crescent Suite 489,,21,5,1953,1,2,2025,Northeast,1953-05-21,2025-02-01,5 (Highest),Rural
33,Mary Elizabeth,Gonzalez,Female,,15401,5,9,1945,11,4,2024,Northeast,1945-09-05,2024-04-11,3,Rural
34,Linda,Heather Graham,Female,362 Darin Hill Apt. 361,02860,29,12,1957,16,3,2025,Northeast,1957-12-29,2025-03-16,1 (Lowest),Rural
35,Richard Brake,Hamilton,Male,829 Castro Freeway,05641,15,1,1950,15,12,2025,Northeast,1950-01-15,2025-12-15,1 (Lowest),Urban
36,Susan,Singh,Female,,,22,12,1959,3,2,2024,Northeast,1959-12-22,2024-02-03,1 (Lowest),Urban
37,Susan,Sims,Female,098 Kristine Point,03561,4,6,1958,11,11,2024,Northeast,1958-06-04,2024-11-11,3,Urban
38,Barbara,George Romero,Female,,04240,16,12,1952,12,12,2025,Northeast,1952-12-16,2025-12-12,3,Rural
39,Karen Gillan,Hubbard Bogart,Female,80764 Matthews Pass Apt. 848,,3,5,1948,14,10,2025,Northeast,1948-05-03,2025-10-14,2,Urban
